Title,Status,Category,Open Date,Close Date
Usuário de Rede - ANA LETICIA PINHEIRO DA SILVA FERRO,6,Tecnologia > Cross > Acesso,2024-08-30 17:08:46,2024-09-03 17:00:00
Usuário de Rede - MATHEUS DE SOUSA DINIZ,6,Tecnologia > Cross > Acesso,2024-08-30 17:07:47,2024-09-03 17:00:00
transito  - operação jornalismo  - o transito da ilha de edição 7 esta fora ,6,Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Programas Internos,2024-08-30 11:08:04,2024-09-03 17:00:00
Não estou enxergando o servidor de trânsito na rede para transferir os arquivos do notebook para a ilha de edição. - Operação Jornalismo,6,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-08-30 07:15:05,2024-09-02 20:00:00
comunicação interna,6,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-08-29 17:41:41,2024-09-01 20:00:00
Requisição de periferico - Fones - Produtora,6,Tecnologia > Serviço > NOC > Suporte de TI > Periféricos,2024-08-29 16:21:51,2024-08-30 20:00:00
Tá travando bastante. - Produtora,6,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-08-29 15:29:38,2024-09-01 20:00:00
FATURAMENTO - FATURAMENTO - ESTÁ APARECENDO UM ERRO,6,Tecnologia > Cross > ERP,2024-08-29 14:46:06,2024-09-02 17:00:00
Usuário Prestador Globo - Solução de Problemas ,6,Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Aplicacações Globo,2024-08-29 11:40:56,
SISCOM - Solução de Problemas ,6,Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Aplicacações Globo,2024-08-29 10:36:33,2024-09-03 17:00:00
INTERNET,6,Tecnologia > Cross > Infraestrutura,2024-08-29 10:33:34,2024-09-04 11:44:40
Instalar photoshop e premiere no usuário,6,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-08-29 08:55:07,2024-09-01 20:00:00
Computador lento e travando muito. - Redação TV,6,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-08-29 08:30:24,2024-09-01 20:00:00
INSTALAR SISTEMA DO RH,6,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-08-29 07:43:51,2024-09-01 20:00:00
